,Zip Code,Offense
1449,64109.0,1849
1450,64106.0,1002
1451,64133.0,630
1453,64155.0,702
1454,64106.0,650
1455,64130.0,401
1456,64125.0,802
1457,64128.0,2402
1459,64157.0,802
1461,64117.0,501
1462,64132.0,1198
1463,64134.0,1122
1464,64133.0,802
1466,64130.0,1401
1467,64127.0,670
1468,64152.0,1401
1469,64134.0,501
1470,64131.0,702
1471,64109.0,640
1472,64133.0,831
1473,64133.0,501
1474,64119.0,1401
1475,64117.0,802
1476,64128.0,802
1477,64116.0,690
1478,64130.0,2402
1480,64111.0,1401
1481,64151.0,630
1483,64154.0,801
1484,64110.0,1401
1485,64151.0,640
1486,64131.0,502
1487,64106.0,301
1490,64150.0,702
1492,64130.0,702
1493,64127.0,690
1494,64111.0,640
1495,64111.0,802
1497,64109.0,802
1499,64113.0,801
1500,64136.0,2601
1501,64130.0,1401
1502,64130.0,802
1503,64109.0,801
1504,64110.0,1401
1505,64134.0,630
1506,64125.0,301
1507,64127.0,802
1508,64137.0,702
1509,64130.0,640
1510,64134.0,501
1511,64112.0,1001
1513,64109.0,630
1514,64111.0,702
1515,64118.0,831
1516,64118.0,403
1518,64131.0,842
1519,64131.0,1401
1521,64133.0,1401
1522,64152.0,1188
1524,64134.0,702
1525,64133.0,640
1526,64130.0,802
1527,64134.0,670
1528,64123.0,802
1529,64109.0,802
1530,64116.0,502
1531,64153.0,630
1532,64157.0,802
1533,64130.0,2601
1534,64130.0,802
1535,64130.0,1849
1536,64110.0,501
1537,64108.0,501
1538,64124.0,802
1539,64123.0,630
1540,64132.0,702
1541,64112.0,640
1542,64132.0,640
1543,64110.0,2661
1544,64109.0,1401
1545,64134.0,801
1546,64114.0,1401
1547,64157.0,670
1548,64106.0,502
1549,64151.0,501
1550,64106.0,2402
1551,64138.0,1122
1552,64152.0,401
1553,64124.0,1401
1554,64156.0,1198
1556,64130.0,801
1557,64153.0,640
1558,64110.0,302
1559,64111.0,702
1560,64127.0,301
1561,64118.0,1401
1562,64114.0,702
1563,64114.0,2601
1564,64109.0,302
1566,64106.0,640
1567,64151.0,2601
1568,64130.0,501
1569,64114.0,650
1570,64114.0,1198
1571,64131.0,302
1572,64127.0,401
1573,64129.0,802
1574,64138.0,650
1575,64114.0,1849
1576,64124.0,301
1577,64119.0,1401
1578,64131.0,1401
1580,64119.0,302
1581,64108.0,801
1582,64134.0,501
1583,64116.0,670
1586,64134.0,802
1587,64129.0,1198
1588,64106.0,702
1589,54125.0,801
1590,64119.0,1001
1591,64127.0,702
1592,64133.0,801
1593,64114.0,702
1594,64117.0,501
1595,64111.0,702
1596,64119.0,501
1597,64158.0,640
1598,64130.0,670
1599,64106.0,2001
1601,64130.0,401
1603,64109.0,302
1604,64153.0,1401
1606,64134.0,401
1607,64132.0,1849
1608,64116.0,1198
1609,64110.0,801
1610,64118.0,501
1611,64112.0,702
1612,64138.0,302
1614,64133.0,630
1615,64132.0,501
1616,64127.0,650
1617,64133.0,630
1619,64132.0,2041
1620,64123.0,2001
1621,64129.0,831
1622,64116.0,690
1623,64123.0,802
1624,64123.0,670
1625,64111.0,702
1626,64152.0,401
1627,64127.0,1849
1630,64132.0,210
1631,64131.0,702
1632,64112.0,2402
1633,64131.0,401
1634,64157.0,690
1635,64127.0,802
1636,64106.0,640
1638,64110.0,702
1639,64117.0,2655
1640,64130.0,1401
1641,64131.0,2601
1642,64111.0,1401
1643,64111.0,801
1644,64105.0,2601
1645,64158.0,501
1646,64130.0,702
1647,64134.0,502
1648,64109.0,1401
1649,64154.0,2601
1650,64127.0,801
1653,64156.0,670
1654,64138.0,1401
1656,64129.0,403
1657,64131.0,501
1658,64106.0,801
1659,64111.0,1401
1662,64123.0,501
1663,64131.0,301
1664,64128.0,2601
1665,64132.0,802
1666,64127.0,2601
1667,64130.0,2040
1668,64106.0,640
1670,64118.0,650
1671,64157.0,640
1672,64130.0,802
1673,64110.0,840
