,Offense,Age,Month,Day,Year
565,799,,03,04,2015
566,1849,,07,15,2015
567,840,,03,29,2015
568,1849,,10,15,2015
569,801,48.0,11,14,2015
570,840,,06,13,2015
571,1849,,06,13,2015
572,840,,09,09,2015
573,640,,10,22,2015
574,1850,18.0,03,04,2015
575,401,25.0,04,11,2015
576,1352,,01,29,2015
577,1849,,07,16,2015
578,802,43.0,10,21,2015
579,1401,29.0,03,29,2015
580,2403,60.0,03,07,2015
581,401,44.0,09,18,2015
582,2100,51.0,08,06,2015
583,302,24.0,05,25,2015
584,1849,,07,21,2015
585,302,24.0,12,03,2015
586,1849,,10,17,2015
587,301,,07,14,2015
588,1849,,05,15,2015
589,2601,,03,06,2015
590,640,34.0,01,25,2015
591,401,54.0,01,20,2015
592,302,41.0,09,27,2015
593,801,,04,08,2015
594,802,24.0,05,25,2015
595,2402,23.0,11,04,2015
596,301,,12,04,2015
597,1651,39.0,08,24,2015
598,1001,,02,21,2015
599,901,,01,08,2015
600,2601,55.0,10,15,2015
601,702,,04,24,2015
602,640,18.0,09,12,2015
603,702,,09,10,2015
604,1849,21.0,03,31,2015
605,301,57.0,12,04,2015
606,1850,58.0,07,12,2015
607,1849,21.0,08,13,2015
608,802,23.0,07,21,2015
609,302,,10,29,2015
610,1401,,11,12,2015
611,2601,39.0,07,06,2015
612,401,20.0,06,07,2015
613,690,,06,07,2015
614,1850,40.0,10,22,2015
615,302,23.0,12,08,2015
616,401,45.0,03,30,2015
617,1850,,04,02,2015
618,702,,07,10,2015
619,401,20.0,02,08,2015
620,1401,,03,29,2015
621,2655,,09,25,2015
622,702,,07,31,2015
623,1850,,05,02,2015
624,1401,,07,06,2015
625,2402,49.0,08,08,2015
626,2601,35.0,08,13,2015
627,801,53.0,10,11,2015
628,1651,76.0,01,21,2015
629,1849,,03,09,2015
630,1651,,05,06,2015
631,301,,05,15,2015
632,2100,,09,18,2015
633,1849,21.0,03,02,2015
634,2100,,06,23,2015
635,2655,22.0,08,07,2015
636,2604,,09,11,2015
637,2604,,11,23,2015
638,802,20.0,07,23,2015
639,2100,34.0,05,15,2015
640,640,,01,30,2015
641,1651,53.0,04,16,2015
642,302,,12,13,2015
643,1849,24.0,10,17,2015
644,1849,,04,09,2015
645,1849,,03,13,2015
646,2201,52.0,07,22,2015
647,302,35.0,09,03,2015
648,2201,62.0,11,11,2015
649,1850,22.0,03,19,2015
650,901,,08,02,2015
651,801,25.0,11,07,2015
652,2100,47.0,09,20,2015
653,302,20.0,08,31,2015
654,801,,02,18,2015
655,831,20.0,06,30,2015
656,201,22.0,03,27,2014
657,2655,,05,13,2015
658,1849,,06,02,2015
659,401,,08,27,2015
660,401,,07,05,2015
661,802,41.0,09,08,2015
662,1401,,08,15,2015
663,1849,20.0,04,06,2015
664,302,36.0,09,10,2015
665,650,55.0,06,12,2015
666,690,31.0,06,24,2015
667,1849,35.0,03,27,2015
668,302,,09,13,2015
669,690,,05,15,2015
670,801,24.0,03,05,2015
671,2402,,11,05,2015
672,840,18.0,05,13,2015
673,801,55.0,05,31,2015
674,401,,08,17,2015
675,802,24.0,05,09,2015
676,302,,11,23,2015
677,2601,,04,05,2015
678,640,50.0,06,10,2015
679,802,59.0,06,10,2015
680,401,26.0,09,26,2015
681,801,45.0,10,11,2015
682,2655,30.0,06,25,2015
683,801,,07,30,2015
684,1849,,08,28,2015
685,2402,21.0,07,19,2015
686,802,54.0,10,21,2015
687,1546,,11,02,2015
688,1850,,12,18,2015
689,1849,,05,28,2015
690,840,26.0,09,09,2015
691,1401,26.0,04,14,2015
692,201,24.0,03,27,2014
693,640,50.0,11,13,2015
694,690,,10,09,2015
695,401,22.0,09,11,2015
696,1849,50.0,08,11,2015
697,670,36.0,08,19,2015
698,702,,06,19,2015
699,640,,10,25,2015
700,401,,04,26,2015
701,1850,43.0,06,30,2015
702,702,30.0,07,01,2015
703,801,54.0,04,24,2015
704,302,,04,09,2015
705,640,,03,25,2015
706,1849,30.0,01,21,2015
707,1849,18.0,05,13,2015
708,210,,09,15,2015
709,1651,32.0,05,06,2015
710,2100,52.0,08,09,2015
711,301,19.0,08,13,2015
712,799,,03,12,2015
713,401,,12,14,2015
714,702,,01,31,2015
715,2402,43.0,07,12,2015
716,1849,,09,26,2015
717,801,22.0,10,16,2015
718,302,,10,03,2015
719,802,23.0,04,28,2015
720,1651,50.0,06,18,2015
721,401,21.0,03,01,2015
722,1750,,10,23,2015
723,610,37.0,04,14,2015
724,2402,,06,25,2015
725,301,,08,13,2015
726,1849,,07,28,2015
727,840,59.0,05,02,2015
728,640,,11,08,2015
729,1850,,07,02,2015
730,2661,,05,03,2015
731,301,36.0,09,04,2015
